STRUCTURE,STRUCTURE_ID,freq,factor,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,EU27_2020,2013,13.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,EU27_2020,2020,11.8,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,EU28,2013,13.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,FI,2013,13.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,FI,2020,14.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,FR,2013,20.9,bd
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,FR,2020,14.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,HR,2013,6.2,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,HR,2020,6.0,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,HU,2013,15.3,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,HU,2020,14.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,IE,2013,7.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,IE,2020,9.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,IS,2020,7.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,IT,2013,25.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,IT,2020,15.4,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,LT,2013,16.1,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,LT,2020,7.7,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,LU,2013,31.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,LU,2020,20.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,LV,2013,24.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,LV,2020,20.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,MT,2013,,bu
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,MT,2020,9.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,NL,2020,24.5,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,NO,2013,3.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,NO,2020,9.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,PL,2013,9.2,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,PL,2020,10.9,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,PT,2013,29.0,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,PT,2020,15.6,b
dataflow,ESTAT:HSW_EXP4(1.0),A,ACT_SVCONC,PC_EMP,F,Y35-54,RO,2013,6.1,b
