STRUCTURE,STRUCTURE_ID,freq,age,deg_urb,lev_diff,assist,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,HR,2019,26.9,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,HU,2019,71.9,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,IE,2019,39.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,IS,2019,25.6,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,IT,2019,49.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,LT,2019,23.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,LU,2019,42.9,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,LV,2019,29.9,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,MT,2019,57.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,NL,2019,54.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,PL,2019,56.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,PT,2019,48.2,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,RO,2019,25.3,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,RS,2019,0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,SE,2019,41.5,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,SI,2019,51.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,SK,2019,26.5,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,NND,PC,TR,2019,0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,AT,2019,36.2,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,BE,2019,0,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,BG,2019,29.5,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,CY,2019,38.9,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,CZ,2019,7.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,DE,2019,32.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,DK,2019,12.5,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,EL,2019,43.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,ES,2019,44.6,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,EU27_2020,2019,29.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,FI,2019,23.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,FR,2019,40.2,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,HR,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,HU,2019,3.0,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,IE,2019,34.1,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,IS,2019,50.5,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,IT,2019,31.5,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,LT,2019,53.2,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,LV,2019,57.6,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,MT,2019,19.5,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,NL,2019,19.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,PL,2019,10.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,PT,2019,20.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,RO,2019,40.1,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,RS,2019,0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,SE,2019,28.3,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,SI,2019,6.7,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,SK,2019,42.3,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,ENO,PC,TR,2019,0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,AT,2019,12.7,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,BE,2019,17.4,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,BG,2019,27.2,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,CY,2019,7.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,CZ,2019,4.1,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,DE,2019,17.5,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,DK,2019,5.3,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,EL,2019,19.6,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,ES,2019,20.2,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,EU27_2020,2019,16.2,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,FI,2019,16.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,FR,2019,17.1,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,HR,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,HU,2019,17.6,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,IE,2019,12.3,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,IS,2019,12.8,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,IT,2019,4.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,LT,2019,19.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,LV,2019,5.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,MT,2019,13.0,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,MOD,LACK,PC,NL,2019,5.9,
