STRUCTURE,STRUCTURE_ID,freq,unit,sex,n_injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,3,ES,1999,0.5,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,3,EU_V,1999,1.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,3,FI,1999,1.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,3,HU,1999,4.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,3,IE,1999,2.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,3,IT,1999,0.6,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,3,LU,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,3,PT,1999,0.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,3,SE,1999,2.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,3,UK,1999,2.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,4,DK,1999,0.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,4,EL,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,4,ES,1999,0.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,4,EU_V,1999,0.6,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,4,FI,1999,0.6,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,4,HU,1999,1.5,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,4,IE,1999,0.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,4,IT,1999,0.3,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,4,LU,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,4,PT,1999,0.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,4,SE,1999,1.3,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,4,UK,1999,0.9,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,GE5,DK,1999,1.5,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,GE5,EL,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,GE5,ES,1999,1.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,GE5,EU_V,1999,1.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,GE5,FI,1999,2.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,GE5,HU,1999,2.3,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,GE5,IE,1999,2.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,GE5,IT,1999,0.9,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,GE5,LU,1999,0.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,GE5,PT,1999,0.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,GE5,SE,1999,3.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,GE5,UK,1999,2.6,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,DE,1999,75.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,DK,1999,64.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,EL,1999,85.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,ES,1999,81.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,EU_V,1999,71.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,FI,1999,64.9,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,HU,1999,76.9,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,IE,1999,76.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,IT,1999,76.9,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,LU,1999,80.3,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,PT,1999,76.3,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,SE,1999,55.9,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,M,TOTAL,UK,1999,65.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,DE,1999,100.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,DK,1999,85.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,EL,1999,96.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,ES,1999,95.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,EU_V,1999,86.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,FI,1999,83.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,HU,1999,77.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,IE,1999,80.7,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,IT,1999,92.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,LU,1999,96.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,PT,1999,90.0,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,SE,1999,82.6,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,1,UK,1999,78.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,2,DK,1999,9.1,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,2,EL,1999,3.6,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,2,ES,1999,2.4,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,2,EU_V,1999,8.5,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,2,FI,1999,10.9,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,2,HU,1999,13.2,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,2,IE,1999,12.8,
dataflow,ESTAT:HSW_IJ_NUSE(1.0),A,PC,T,2,IT,1999,5.6,
