STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,indic_de,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU27_2020,2017,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU27_2020,2018,0.01,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU27_2020,2019,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU27_2020,2020,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU28,2011,0.01,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU28,2012,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU28,2013,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU28,2014,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU28,2015,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU28,2016,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU28,2017,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,C00-D48,EU27_2020,2011,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,C00-D48,EU27_2020,2012,0.01,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,C00-D48,EU27_2020,2013,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,C00-D48,EU27_2020,2014,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,C00-D48,EU27_2020,2015,0.01,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,C00-D48,EU27_2020,2016,0.01,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,C00-D48,EU27_2020,2017,0,
