STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED5_6,PL,2008,53.5,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,ED5_6,SK,2008,34.6,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,TOTAL,AT,2008,23.5,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,TOTAL,BG,2008,31.7,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,TOTAL,CY,2008,32.7,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,TOTAL,CZ,2008,54.5,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,TOTAL,EL,2008,57.2,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,TOTAL,ES,2008,41.9,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,TOTAL,HU,2008,54.6,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,TOTAL,LV,2008,62.7,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,TOTAL,MT,2008,23.1,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,TOTAL,PL,2008,46.4,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y15-24,TOTAL,SK,2008,39.1,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED0-2,AT,2008,23.4,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED0-2,BG,2008,45.5,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED0-2,CY,2008,52.0,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED0-2,EL,2008,75.5,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED0-2,ES,2008,50.2,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED0-2,HU,2008,55.0,u
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED0-2,LV,2008,59.5,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED0-2,PL,2008,65.7,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED3_4,AT,2008,28.2,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED3_4,BG,2008,42.9,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED3_4,CY,2008,45.7,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED3_4,CZ,2008,60.8,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED3_4,EL,2008,67.0,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED3_4,ES,2008,51.4,
dataflow,ESTAT:HLTH_EHIS_DE9(1.0),A,F,Y25-34,ED3_4,HU,2008,61.3,
