STRUCTURE,STRUCTURE_ID,freq,sex,age,sizes,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,NO,2020,81.2,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,PL,2007,24.8,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,PL,2013,19.0,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,PL,2020,45.8,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,PT,2007,23.2,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,PT,2013,44.8,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,PT,2020,59.5,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,RO,2007,27.7,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,RO,2013,25.1,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,RO,2020,57.5,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,SE,2007,40.5,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,SE,2013,48.8,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,SE,2020,84.1,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,SI,2020,31.2,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,SK,2007,20.1,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,SK,2013,27.0,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,SK,2020,57.4,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,TR,2013,10.9,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,UK,2007,39.8,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,LARGE,PC_EMP,UK,2013,,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,AT,2007,22.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,AT,2013,37.7,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,AT,2020,67.1,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,BE,2007,13.5,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,BE,2013,23.1,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,BE,2020,50.6,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,BG,2007,14.0,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,BG,2013,11.0,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,BG,2020,45.8,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,CH,2013,35.5,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,CH,2020,69.1,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,CY,2007,48.8,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,CY,2013,29.5,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,CY,2020,42.9,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,CZ,2007,12.7,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,CZ,2013,18.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,CZ,2020,34.4,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,DE,2007,11.2,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,DE,2013,13.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,DE,2020,22.1,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,DK,2007,17.7,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,DK,2013,14.2,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,DK,2020,40.0,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EA19,2007,24.2,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EA19,2013,30.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EA19,2020,43.2,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EE,2007,14.3,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EE,2013,22.4,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EE,2020,41.1,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EL,2007,17.0,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EL,2013,38.6,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EL,2020,74.5,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,ES,2007,22.8,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,ES,2013,27.3,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,ES,2020,50.7,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EU27_2020,2007,23.0,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,MEDIUM,PC_EMP,EU27_2020,2013,27.4,
