STRUCTURE,STRUCTURE_ID,freq,unit,source,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2008,52.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2009,52.70,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2010,52.30,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2011,52.90,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2012,52.80,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2013,51.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2014,52.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2015,51.40,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2016,50.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2017,49.90,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2018,50.30,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2019,48.80,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,FR,2020,42.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2006,63.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2007,63.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2008,63.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2009,57.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2010,57.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2011,57.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2012,60.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2013,60.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2014,60.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2015,60.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2016,60.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2017,60.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2018,64.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2019,60.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2020,56.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HR,2021,56.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2006,49.23,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2007,46.31,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2008,45.56,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2009,47.03,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2010,47.13,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2011,46.06,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2012,44.27,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2013,43.19,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2014,42.08,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2015,42.27,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2016,41.98,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2017,41.09,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2018,40.02,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2019,39.07,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,HU,2020,33.65,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IE,2002,78.40,d
