STRUCTURE,STRUCTURE_ID,freq,sex,age,accident,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED3_4,PL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED3_4,RO,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED3_4,SI,2008,6.2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED3_4,SK,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED3_4,TR,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,BE,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,BG,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,CY,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,CZ,2008,4.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,EL,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,ES,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,HU,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,LV,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,MT,2008,4.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,PL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,RO,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,SI,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,SK,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,ED5_6,TR,2008,2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,BE,2008,2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,BG,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,CY,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,CZ,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,EL,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,ES,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,HU,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,LV,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,MT,2008,4.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,PL,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,RO,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,SI,2008,3.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,SK,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,TOTAL,RD_TRF,TOTAL,TR,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,HOM_SCH,ED0-2,BE,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,HOM_SCH,ED0-2,BG,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,HOM_SCH,ED0-2,CY,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,HOM_SCH,ED0-2,CZ,2008,21.3,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,HOM_SCH,ED0-2,EL,2008,1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,HOM_SCH,ED0-2,ES,2008,5.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,HOM_SCH,ED0-2,HU,2008,11.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,HOM_SCH,ED0-2,LV,2008,8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,HOM_SCH,ED0-2,PL,2008,3.2,
