STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,n_job,worktime,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,L,EU_V,1999,49,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,M,EU_V,1999,63,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,N,EU_V,1999,107,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,O,EU_V,1999,81,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,P,EU_V,1999,47,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,Q,EU_V,1999,47,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H30-39,TOTAL,EU_V,1999,63,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,A,EU_V,1999,82,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,C,EU_V,1999,67,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,D,EU_V,1999,77,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,E,EU_V,1999,33,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,F,EU_V,1999,42,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,G,EU_V,1999,53,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,H,EU_V,1999,89,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,I,EU_V,1999,76,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,J,EU_V,1999,50,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,K,EU_V,1999,53,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,L,EU_V,1999,51,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,M,EU_V,1999,87,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,N,EU_V,1999,112,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,O,EU_V,1999,63,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,P,EU_V,1999,67,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H40-49,TOTAL,EU_V,1999,72,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H_GE50,A,EU_V,1999,73,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H_GE50,D,EU_V,1999,56,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H_GE50,G,EU_V,1999,33,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H_GE50,H,EU_V,1999,45,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H_GE50,I,EU_V,1999,42,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H_GE50,K,EU_V,1999,55,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H_GE50,M,EU_V,1999,51,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H_GE50,N,EU_V,1999,30,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H_GE50,O,EU_V,1999,74,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H_GE50,P,EU_V,1999,26,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,H_GE50,TOTAL,EU_V,1999,48,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,TOTAL,TOTAL,TOTAL,A,EU_V,1999,87,
