STRUCTURE,STRUCTURE_ID,freq,sex,age,levels,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED0-2,PL,2008,29.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED0-2,RO,2008,29.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED0-2,SI,2008,26.0,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED0-2,SK,2008,31.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED0-2,TR,2008,43.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,BG,2008,55.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,CY,2008,62.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,CZ,2008,54.4,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,EE,2008,46.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,EL,2008,55.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,ES,2008,57.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,HU,2008,42.4,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,LV,2008,45.5,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,MT,2008,50.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,PL,2008,40.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,RO,2008,44.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,SI,2008,35.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,SK,2008,40.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED3_4,TR,2008,61.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,BG,2008,59.0,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,CY,2008,67.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,CZ,2008,65.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,EE,2008,53.4,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,NONE,ED5_6,EL,2008,52.1,
