STRUCTURE,STRUCTURE_ID,freq,unit,deg_urb,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,ES,2011,1114.507,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,FI,2011,178.416,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,FR,2011,3645.875,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,HR,2011,202.273,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,HU,2011,218.804,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,IE,2011,51.321,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,IT,2011,1418.175,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,LT,2011,88.536,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,LU,2011,25.604,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,LV,2011,115.897,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,MT,2011,18.706,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,NL,2011,1010.734,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,PL,2011,1318.455,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,PT,2011,514.287,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,RO,2011,660.466,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,SE,2011,305.794,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,SI,2011,34.092,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,SK,2011,65.449,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,TOTAL,T,UK,2011,4519.469,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,AT,2011,20.953,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,BE,2011,14.127,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,BG,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,CH,2011,36.992,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,CY,2011,0.65,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,CZ,2011,2.824,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,DE,2011,130.705,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,DK,2011,10.521,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,EE,2011,2.723,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,EL,2011,3.023,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,ES,2011,18.88,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,FI,2011,7.469,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,F,FR,2011,152.166,
