STRUCTURE,STRUCTURE_ID,freq,unit,isced97,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,DE,2011,102.821,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,DK,2011,15.635,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,EE,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,EL,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,ES,2011,28.959,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,FI,2011,12.447,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,FR,2011,128.687,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,HR,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,HU,2011,5.138,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,IE,2011,3.645,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,IS,2011,3.489,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,IT,2011,23.458,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,LT,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,LU,2011,1.123,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,LV,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,MT,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,NL,2011,36.421,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,PL,2011,41.529,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,PT,2011,19.109,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,RO,2011,16.471,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,SE,2011,28.869,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,SI,2011,1.41,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,SK,2011,3.102,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,TR,2011,221.122,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,F,UK,2011,102.634,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,AT,2011,23.256,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,BE,2011,26.862,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,BG,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,CH,2011,29.388,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,CY,2011,1.212,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,CZ,2011,5.983,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,DE,2011,91.871,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,DK,2011,16.692,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,EE,2011,3.914,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,EL,2011,5.761,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,ES,2011,32.243,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,FI,2011,14.472,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,FR,2011,92.13,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,HR,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,HU,2011,12.518,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,IE,2011,3.934,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,IS,2011,2.353,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,IT,2011,36.801,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,LT,2011,6.345,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,LU,2011,1.352,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,LV,2011,5.611,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,MT,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,NL,2011,42.824,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,PL,2011,52.876,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,PT,2011,21.543,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,RO,2011,20.984,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,SE,2011,28.748,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,SI,2011,1.84,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,M,SK,2011,5.117,
