STRUCTURE,STRUCTURE_ID,freq,icd10,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,ED5_6,SK,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,AT,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,BE,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,BG,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,CY,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,CZ,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,EL,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,ES,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,FR,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,LV,2008,1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,MT,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,PL,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,RO,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,SI,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,SK,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y15-24,TOTAL,TR,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED0-2,AT,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED0-2,BE,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED0-2,CY,2008,1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED0-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED0-2,EE,2008,2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED0-2,EL,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y25-34,ED0-2,ES,2008,1,
