STRUCTURE,STRUCTURE_ID,freq,unit,lev_limit,acl00,frequenc,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,DE,2006,37.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,DK,2006,29.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,EE,2006,32.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,EL,2006,33.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,ES,2006,25.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,EU27_2007,2006,31.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,FI,2006,37.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,FR,2006,25.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,HU,2006,23.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,IE,2006,23.2,u
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,IS,2006,21.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,IT,2006,29.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,LT,2006,37.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,LU,2006,19.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,LV,2006,28.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,MT,2006,24.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,NL,2006,27.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,NO,2006,27.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,PL,2006,40.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,PT,2006,28.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,SE,2006,41.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,SI,2006,29.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,SK,2006,38.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,TR,2006,22.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,UK,2006,27.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,AT,2006,23.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,BE,2006,26.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,BG,2006,21.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,CY,2006,27.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,CZ,2006,35.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,DE,2006,37.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,DK,2006,31.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,EE,2006,32.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,EL,2006,31.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,ES,2006,24.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,T,EU27_2007,2006,31.1,
