STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1986,272.95,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1987,270.60,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1988,264.92,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1989,257.16,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1990,255.41,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1991,251.34,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1992,247.10,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1993,243.45,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1994,244.35,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1995,239.22,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1996,233.66,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1997,227.88,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1998,216.01,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,1999,211.45,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2000,204.84,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2001,202.14,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2002,200.33,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2003,197.13,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2004,196.18,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2005,194.68,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2006,192.88,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2007,191.69,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2008,189.26,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2009,186.88,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2010,182.41,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2011,179.37,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2012,182.27,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2013,181.20,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2014,175.05,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2015,168.85,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2016,164.54,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2017,160.22,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2018,156.76,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2019,153.78,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,ES,2020,150.16,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,HU,2013,120.84,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,HU,2014,117.76,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,HU,2015,113.85,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,HU,2016,112.78,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,HU,2017,107.44,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,HU,2018,104.55,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,HU,2019,102.08,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,HU,2020,100.13,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,HU,2021,99.61,p
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,1994,87.08,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,1995,84.05,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,1996,81.15,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,1997,77.91,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,1998,76.43,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,1999,73.71,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2000,71.70,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2001,67.76,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2002,65.44,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2003,67.76,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2004,66.97,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2005,66.41,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2006,65.34,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2007,65.42,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2008,65.43,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2009,66.23,d
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,IE,2010,67.64,d
