STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,LU,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,LV,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,MT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,NL,2011,20,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,PL,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,PT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,RO,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,SE,2011,10.7,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,SI,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,SK,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,TR,2011,62.9,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,EMP,T,UK,2011,13.3,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,AT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,BE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,BG,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,CH,2011,29.7,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,CY,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,CZ,2011,29.2,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,DE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,DK,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,EE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,EL,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,F,ES,2011,33.2,u
