STRUCTURE,STRUCTURE_ID,freq,unit,barrier,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,DE,2012,431.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,DK,2012,42.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,EE,2012,10.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,EEA,2012,2661.7,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,EL,2012,105.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,ES,2012,365.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,EU27_2007,2012,2624.6,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,FI,2012,14.5,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,FR,2012,257.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,HU,2012,60.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,IS,2012,3.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,IT,2012,349.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,LT,2012,19.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,LU,2012,4.6,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,LV,2012,12.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,MT,2012,8.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,NL,2012,116.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,NO,2012,34.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,PL,2012,234.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,PT,2012,48.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,RO,2012,89.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,SE,2012,42.4,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,SI,2012,5.4,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,F,SK,2012,21.1,u
