STRUCTURE,STRUCTURE_ID,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2012,78.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2013,79.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2014,79.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2015,78.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2016,78.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2017,76.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2018,77.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2019,76.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2020,76.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,CZ,2021,78.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2005,66.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2006,70.8,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2007,70.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2008,69.7,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2009,70.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2010,70.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2011,70.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2012,69.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2013,68.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2014,67.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2015,81.2,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2016,80.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2017,80.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2018,79.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2019,80.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2020,79.9,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DE,2021,79.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2004,86.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2005,85.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2006,83.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2007,83.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2008,75.1,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2009,74.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2010,75.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2011,73.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2012,74.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2013,73.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2014,74.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2015,69.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2016,72.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2017,71.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2018,71.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2019,70.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2020,69.1,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,DK,2021,65.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2004,69.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2005,67.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2006,68.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2007,69.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2008,72.4,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2009,73.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2010,72.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2011,71.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2012,70.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2013,69.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2014,69.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2015,68.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2016,71.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2017,69.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2018,66.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2019,69.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2020,71.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EE,2021,71.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2004,80.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2005,82.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2006,82.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2007,81.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2008,79.8,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2009,80.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2010,81.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2011,80.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2012,77.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2013,77.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2014,77.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2015,76.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EL,2016,77.1,
