STRUCTURE,STRUCTURE_ID,freq,age,sex,icd10,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,SI,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,SK,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,F32_F33,TOTAL,TR,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,AT,2008,30.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,BE,2008,30.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,BG,2008,32.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,CY,2008,32.3,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,CZ,2008,29,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,EL,2008,36.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,ES,2008,26.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,HU,2008,45.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,LV,2008,30.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,MT,2008,35.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,PL,2008,38.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED0-2,RO,2008,24.6,
