STRUCTURE,STRUCTURE_ID,freq,icd10,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J45,I13,EU_V,2016,101.1,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J45,I13,EU_V,2017,88.9,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J45,I13,EU_V,2018,81.8,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J45,I13,EU_V,2019,97.2,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J45,I13,EU_V,2020,61.1,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61,I13,EU_V,2014,91.5,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61,I13,EU_V,2015,68.9,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61,I13,EU_V,2016,61.8,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61,I13,EU_V,2017,78.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61,I13,EU_V,2018,60.0,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61,I13,EU_V,2019,85.5,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61,I13,EU_V,2020,56.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61_J62,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61_J62,I13,EU_V,2014,107.2,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61_J62,I13,EU_V,2015,91.2,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61_J62,I13,EU_V,2016,76.8,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61_J62,I13,EU_V,2017,80.0,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61_J62,I13,EU_V,2018,69.3,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61_J62,I13,EU_V,2019,92.9,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J61_J62,I13,EU_V,2020,46.6,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J62,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J62,I13,EU_V,2014,107.9,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J62,I13,EU_V,2015,86.8,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J62,I13,EU_V,2016,85.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J62,I13,EU_V,2017,81.9,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J62,I13,EU_V,2018,76.2,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,J62,I13,EU_V,2019,87.3,
