STRUCTURE,STRUCTURE_ID,freq,unit,marsta,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y15-24,T,UK,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,AT,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,BE,2011,6.218,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,BG,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,CH,2011,2.134,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,CY,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,CZ,2011,1.603,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,DE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,DK,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,EE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,EL,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,ES,2011,9.045,
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,FI,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,FR,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,HR,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,HU,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,IE,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,IS,2011,,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,IT,2011,5.115,u
dataflow,ESTAT:HLTH_DP060(1.0),A,THS,ENDLUN,PB1040,Y25-34,F,LT,2011,,u
