STRUCTURE,STRUCTURE_ID,freq,unit,assist,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,ES,2011,993.799,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,EU28,2011,11232.931,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,FI,2011,126.795,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,FR,2011,612.832,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,HR,2011,149.282,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,HU,2011,97.044,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,IE,2011,91.777,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,IS,2011,11.847,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,IT,2011,862.074,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,LT,2011,123.977,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,LV,2011,76.258,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,MT,2011,8.725,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,NL,2011,296.666,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,PL,2011,1307.442,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,PT,2011,479.563,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,RO,2011,868.238,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,SE,2011,142.202,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,SI,2011,117.84,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,SK,2011,220.247,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,TR,2011,2786.385,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,T,UK,2011,1486.598,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,AT,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,BE,2011,6.518,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,CH,2011,12.975,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,CY,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,CZ,2011,8.315,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,DK,2011,8.584,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,EL,2011,3.371,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,ES,2011,22.264,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,EU28,2011,324.386,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,FI,2011,6.9,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,F,HR,2011,,u
