STRUCTURE,STRUCTURE_ID,freq,frequenc,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,TOTAL,TOTAL,SK,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,ED0-2,BE,2008,8.1,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,ED0-2,HU,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,ED0-2,LV,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,ED0-2,SI,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,ED3_4,BE,2008,0.2,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,ED3_4,HU,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,ED3_4,LV,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,ED3_4,MT,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,ED3_4,RO,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,ED3_4,SI,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,TOTAL,BE,2008,1.9,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,TOTAL,HU,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,TOTAL,LV,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,TOTAL,MT,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,TOTAL,RO,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y15-24,TOTAL,SI,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED0-2,BE,2008,2.1,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED0-2,CY,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED0-2,EL,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED0-2,LV,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED0-2,RO,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED3_4,BE,2008,2.3,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED3_4,CZ,2008,5.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED3_4,ES,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED3_4,LV,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED3_4,MT,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED3_4,RO,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED3_4,SI,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED5_6,CZ,2008,5.5,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,ED5_6,ES,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,TOTAL,BE,2008,1.3,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,TOTAL,CY,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,TOTAL,CZ,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,TOTAL,EL,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,TOTAL,ES,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,TOTAL,LV,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,TOTAL,MT,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,TOTAL,RO,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y25-34,TOTAL,SI,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED0-2,BE,2008,1.9,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED0-2,EL,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED0-2,ES,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED0-2,LV,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED0-2,RO,2008,2.0,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED0-2,SI,2008,3.4,u
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED3_4,BE,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED3_4,BG,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_DE6(1.0),A,DAY,M,Y35-44,ED3_4,CY,2008,0.5,
