STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,2005,2.2,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,2006,2.7,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,DK,2007,2,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EE,2005,3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EE,2007,2,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,1994,4.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,1995,4.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,1996,3.7,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,1997,2.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,1998,3.7,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,1999,6.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,2000,2.7,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,2001,2.9,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,2002,3.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,2003,3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,2004,2.5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,2005,1.6,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,2006,3.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,EL,2007,2.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,1994,7,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,1995,7,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,1996,5.9,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,1997,6.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,1998,5.5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,1999,5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,2000,4.7,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,2001,4.4,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,2002,4.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,2003,3.7,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,2004,3.2,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,2005,3.5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,2006,3.5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,ES,2007,2.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,1994,3.6,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,1995,2.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,1996,1.7,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,1997,2.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,1998,2.4,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,1999,1.8,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,2000,2.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,2001,2.4,b
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,2002,2,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,2003,1.9,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,2004,2.5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,2005,2,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,2006,1.5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FI,2007,1.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FR,1994,4.3,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FR,1995,3.5,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FR,1996,3.6,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FR,1997,4.1,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FR,1998,4,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FR,1999,3.4,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FR,2000,3.4,
dataflow,ESTAT:HSW_AW_FIMS(1.0),A,RT,FAT,TOTAL,A_D-H_J_K,FR,2001,3.2,
