STRUCTURE,STRUCTURE_ID,freq,unit,severity,sizeclas,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,J_K,EU15_NO,2007,2807,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,TOTAL,EU15_NO,1996,149972,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,TOTAL,EU15_NO,1997,119938,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,TOTAL,EU15_NO,1998,120974,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,TOTAL,EU15_NO,1999,115724,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,TOTAL,EU15_NO,2000,99090,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,TOTAL,EU15_NO,2001,253496,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,TOTAL,EU15_NO,2002,215492,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,TOTAL,EU15_NO,2003,131616,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,TOTAL,EU15_NO,2004,65558,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,TOTAL,EU15_NO,2005,79936,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,TOTAL,EU15_NO,2006,71900,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,0,TOTAL,EU15_NO,2007,68935,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A,EU15_NO,1996,31746,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A,EU15_NO,1997,34789,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A,EU15_NO,1998,36679,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A,EU15_NO,1999,35308,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A,EU15_NO,2000,33725,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A,EU15_NO,2001,32492,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A,EU15_NO,2002,33608,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A,EU15_NO,2003,33615,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A,EU15_NO,2004,34398,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A,EU15_NO,2005,34282,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A,EU15_NO,2006,12670,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A,EU15_NO,2007,11275,p
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A_D-K,EU15_NO,1996,448622,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A_D-K,EU15_NO,1997,451727,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A_D-K,EU15_NO,1998,479083,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A_D-K,EU15_NO,1999,484523,
dataflow,ESTAT:HSW_AW_NNASZ(1.0),A,NR,D_GE4,1-9,A_D-K,EU15_NO,2000,497707,
