STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,yes_no,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,M,MT,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,M,NL,2011,21.522,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,M,PL,2011,11.009,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,M,PT,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,M,RO,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,M,SE,2011,13.095,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,M,SI,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,M,TR,2011,82.225,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,M,UK,2011,65.124,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,AT,2011,39.583,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,BE,2011,11.517,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,BG,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,CH,2011,68.054,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,CY,2011,0.563,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,CZ,2011,3.628,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,DE,2011,134.538,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,DK,2011,20.889,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,EE,2011,2.794,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,EL,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,ES,2011,19.272,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,EU28,2011,702.283,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,FI,2011,15.453,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,FR,2011,157.984,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,HR,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,HU,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,IE,2011,1.744,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,IS,2011,3.496,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,IT,2011,10.565,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,LT,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,LU,2011,0.838,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,LV,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,MT,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,NL,2011,43.852,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,PL,2011,18.377,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,PT,2011,11.38,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,RO,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,SE,2011,34.741,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,SI,2011,1.321,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,SK,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,TR,2011,120.315,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,T,UK,2011,160.176,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,AT,2011,38.209,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,BE,2011,24.507,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,CH,2011,31.101,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,CY,2011,0.633,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,CZ,2011,6.831,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,DE,2011,97.512,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,DK,2011,15.42,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,EE,2011,3.783,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,EL,2011,3.398,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,ES,2011,74.471,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,EU28,2011,908.853,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,FI,2011,25.775,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,FR,2011,258.941,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,HU,2011,6.098,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,IE,2011,2.896,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,IT,2011,48.895,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,LT,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,LU,2011,3.008,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,LV,2011,5.693,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,MT,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,NL,2011,38.998,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,PL,2011,35.521,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,PT,2011,30.136,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y25-34,F,RO,2011,12.719,
