STRUCTURE,STRUCTURE_ID,freq,unit,severity,injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ022,EU15_NO,2000,324,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ022,EU15_NO,2001,15,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ022,EU15_NO,2002,225,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ022,EU15_NO,2003,564,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ022,EU15_NO,2004,801,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ022,EU15_NO,2005,696,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ022,EU15_NO,2006,738,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ022,EU15_NO,2007,719,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ029,EU15_NO,1997,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ029,EU15_NO,1998,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ029,EU15_NO,1999,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ029,EU15_NO,2000,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ029,EU15_NO,2001,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ029,EU15_NO,2002,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ029,EU15_NO,2003,778,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ029,EU15_NO,2004,736,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ029,EU15_NO,2005,693,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ029,EU15_NO,2006,758,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ029,EU15_NO,2007,1153,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ030,EU15_NO,1997,70721,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ030,EU15_NO,1998,72671,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ030,EU15_NO,1999,79533,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ030,EU15_NO,2000,42126,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ030,EU15_NO,2001,38273,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ030,EU15_NO,2002,32315,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ030,EU15_NO,2003,43470,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ030,EU15_NO,2004,47312,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ030,EU15_NO,2005,47115,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ030,EU15_NO,2006,45887,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ030,EU15_NO,2007,42541,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ031,EU15_NO,1997,1945,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ031,EU15_NO,1998,2341,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ031,EU15_NO,1999,2530,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ031,EU15_NO,2000,3968,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ031,EU15_NO,2001,3872,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ031,EU15_NO,2002,4819,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ031,EU15_NO,2003,4659,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ031,EU15_NO,2004,6417,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ031,EU15_NO,2005,6331,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ031,EU15_NO,2006,6493,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ031,EU15_NO,2007,27018,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ032,EU15_NO,1997,30179,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ032,EU15_NO,1998,35201,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ032,EU15_NO,1999,34713,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ032,EU15_NO,2000,60147,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ032,EU15_NO,2001,57481,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ032,EU15_NO,2002,65062,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ032,EU15_NO,2003,42093,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ032,EU15_NO,2004,44488,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ032,EU15_NO,2005,45037,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ032,EU15_NO,2006,44688,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ032,EU15_NO,2007,88262,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ039,EU15_NO,1997,8716,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ039,EU15_NO,1998,10141,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ039,EU15_NO,1999,10359,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ039,EU15_NO,2000,37255,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ039,EU15_NO,2001,35507,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ039,EU15_NO,2002,38060,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ039,EU15_NO,2003,34326,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ039,EU15_NO,2004,35617,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ039,EU15_NO,2005,35928,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ039,EU15_NO,2006,37123,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ039,EU15_NO,2007,70963,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ040,EU15_NO,1997,977,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ040,EU15_NO,1998,830,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ040,EU15_NO,1999,915,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ040,EU15_NO,2000,978,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ040,EU15_NO,2001,684,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ040,EU15_NO,2002,958,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ040,EU15_NO,2003,824,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ040,EU15_NO,2004,796,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ040,EU15_NO,2005,695,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ040,EU15_NO,2006,722,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ040,EU15_NO,2007,609,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ050,EU15_NO,1997,6048,
